Ticker,time,open,high,low,close,volume,is_ipo,sma_20,sma_50,rsi_14,roc_3,vol_sma_20,common_0_sig,signal,Return_3D_pct,Return_5D_pct,Return_10D_pct,Return_20D_pct
GVR,2024-11-04,31750.0,31750.0,30720.0,30820.0,2649411,False,33424.5,34026.2,29.1117433592615,-3.5065748278021336,2779185.15,1,1,5.710577547047372,5.872809863724866,-0.3569110966904607,0.6164828033744322
GVR,2024-11-19,30760.0,30960.0,29920.0,29970.0,2308895,False,31733.5,33493.4,32.84942674206183,-3.509336767546689,2665290.65,1,1,1.6349683016349683,2.9696363029696364,1.6349683016349683,2.3023023023023024
GVR,2024-12-04,30460.0,30560.0,29920.0,29920.0,2917055,False,31023.5,32644.6,35.63805123397245,-3.046014257939078,2422080.25,1,1,5.782085561497326,3.643048128342246,3.308823529411765,0.5013368983957219
GVR,2025-09-10,28490.0,28490.0,27850.0,27900.0,2813349,False,29808.5,29898.6,37.61982407147812,-5.037440435670526,5323085.5,1,1,5.483870967741936,2.1146953405017923,1.0752688172043012,-3.010752688172043
HDB,2022-05-13,9330.0,9490.0,8760.0,9040.0,4888300,False,10087.0,10859.2,31.043354211149186,-7.755102040816331,3310960.0,1,1,8.185840707964601,9.734513274336283,16.261061946902654,16.70353982300885
HDB,2022-07-11,9550.0,9630.0,9330.0,9330.0,1518800,False,9788.5,9969.0,37.22876405398611,-3.913491246138001,1893435.0,1,1,3.429796355841372,2.572347266881029,3.0010718113612005,9.110396570203644
HDB,2022-10-24,8400.0,8450.0,8020.0,8119.999999999999,2221189,False,8927.0,9847.2,27.209716210378975,-4.470588235294127,1908143.75,1,1,4.064039408867007,2.8325123152709475,-9.97536945812807,-7.142857142857133
HDB,2022-11-15,7380.0,7430.0,6950.0,7130.0,3662377,False,7981.0,8949.0,26.76238950779492,-4.037685060565277,3065339.5,1,1,7.152875175315568,4.628330995792426,10.37868162692847,17.53155680224404
HPG,2021-12-06,27230.0,27490.0,26090.0,26230.0,34633900,False,28920.5,30858.0,25.41025621074714,-6.621573513705947,29579410.0,1,1,2.9355699580632866,1.7537171178040414,2.5162028211971026,2.173084254670225
HPG,2021-12-23,25860.0,25860.0,25280.0,25770.0,26674000,False,27093.0,29591.0,30.658960961763555,-4.165117143919672,19348500.0,1,1,1.9014357780364766,1.6686069072564997,1.9014357780364766,-3.686457120682965
HPG,2022-07-27,16250.0,16290.0,15950.0,16100.000000000002,28601000,False,16784.0,17895.2,37.58282954160712,-4.280618311533879,19121785.0,1,1,7.2670807453416035,11.739130434782597,11.98757763975154,10.559006211180112
HPG,2024-09-05,21120.0,21120.0,20830.0,20870.0,22584753,False,21402.0,22603.0,33.199238050614596,-2.1565869667135473,19974662.25,1,1,0.43124101581217056,0.23957834211787254,0.8145663632007666,4.599904168663152
HPG,2024-09-16,20830.0,21040.0,20710.0,20710.0,14586621,False,21270.5,22201.4,35.769521968019696,-1.9412878787878785,20101701.0,1,1,1.5934331240946402,3.4282955094157415,6.035731530661516,8.83631096088846
HPG,2026-01-05,26400.0,26550.0,25700.0,25950.0,46487900,False,26535.0,26689.0,40.83723226719786,-2.8089887640449396,30515415.0,1,1,1.7341040462427744,5.973025048169557,6.74373795761079,2.312138728323699
MBB,2021-10-04,12390.0,12410.0,12140.0,12230.0,12211300,False,12619.0,12917.4,36.77302896067824,-2.549800796812751,12003545.0,1,1,2.044153720359771,6.295993458708095,4.82420278004906,4.82420278004906
MBB,2022-10-24,8830.0,8910.0,8370.0,8450.0,17426614,False,9716.0,11232.0,25.689490678586868,-10.864978902953581,10776531.95,1,1,12.189349112426036,13.491124260355031,8.63905325443787,0.591715976331361
MBB,2022-11-15,8130.000000000001,8230.0,7660.0,7660.0,23490878,False,9092.0,10118.6,27.056634518134686,-10.514018691588788,13371442.45,1,1,10.966057441253264,11.74934725848564,21.671018276762403,27.284595300261095
MBB,2023-10-03,11750.0,11810.0,11500.0,11530.0,11266441,False,12029.0,11971.4,39.35751943002384,-2.370872142252334,12592951.8,1,1,0.5203816131830009,2.168256721595837,0.26019080659150046,-5.2905464006938425
MBB,2025-11-25,23200.0,23300.0,22800.0,22850.0,18502700,False,23522.5,25206.0,33.40446307221603,-2.1413276231263434,19465235.0,1,1,1.75054704595186,3.063457330415755,8.096280087527353,9.846827133479213
MSN,2022-10-24,74800.0,75800.0,69600.0,72800.0,1296771,False,86040.0,101720.0,18.16741201259363,-8.999999999999996,1206644.65,1,1,14.010989010989011,17.445054945054945,16.071428571428573,30.631868131868135
MSN,2023-05-23,72000.0,72000.0,70200.0,70400.0,2298178,False,72970.0,76914.0,32.31895930287953,-3.825136612021862,884838.65,1,1,2.272727272727273,3.4090909090909087,4.545454545454546,6.8181818181818175
MSN,2023-11-30,62200.0,62900.0,60500.0,60500.0,2263242,False,63125.0,66990.0,39.833194847770706,-0.6568144499178974,1753970.4,1,1,1.487603305785124,4.958677685950414,7.43801652892562,10.743801652892563
MSN,2024-08-05,71300.0,72700.0,70200.0,70500.0,6260600,False,73165.0,75064.0,37.700476475811485,-4.858299595141702,4850722.7,1,1,5.673758865248227,6.666666666666667,10.354609929078014,6.808510638297872
MWG,2022-10-24,52800.0,53280.0,49020.0,49020.0,4829842,False,57285.5,63537.0,27.40866895345244,-14.225721784776901,3039261.65,1,1,5.324357405140759,1.9787841697266422,-15.320277437780497,-19.66544267645859
